FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187bdca2256_1487,5334002,1090,Augustinerplatz
strassennamen.fid--3213a59_187bdca2256_1488,5334002,1091,Aureliusstraße
strassennamen.fid--3213a59_187bdca2256_1489,5334002,1092,Aussemstraße
strassennamen.fid--3213a59_187bdca2256_148a,5334002,1093,Austraße
strassennamen.fid--3213a59_187bdca2256_148b,5334002,1094,Katzenpützweg
strassennamen.fid--3213a59_187bdca2256_148c,5334002,1095,Bachstraße
strassennamen.fid--3213a59_187bdca2256_148d,5334002,1096,Bädersteig
strassennamen.fid--3213a59_187bdca2256_148e,5334002,1097,Bärenstraße
strassennamen.fid--3213a59_187bdca2256_148f,5334002,1098,Bahnhofplatz
strassennamen.fid--3213a59_187bdca2256_1490,5334002,1099,Bahnhofstraße
strassennamen.fid--3213a59_187bdca2256_1491,5334002,1101,Barbarastraße
strassennamen.fid--3213a59_187bdca2256_1492,5334002,1102,Barbarossaplatz
strassennamen.fid--3213a59_187bdca2256_1493,5334002,1103,Klausbergweg
strassennamen.fid--3213a59_187bdca2256_1494,5334002,1104,Bayernallee
strassennamen.fid--3213a59_187bdca2256_1495,5334002,1105,Kreuzertal
strassennamen.fid--3213a59_187bdca2256_1496,5334002,1106,Beeckstraße
strassennamen.fid--3213a59_187bdca2256_1497,5334002,1107,Beethovenstraße
strassennamen.fid--3213a59_187bdca2256_1498,5334002,1108,Merlepützweg
strassennamen.fid--3213a59_187bdca2256_1499,5334002,1109,Beginenstraße
strassennamen.fid--3213a59_187bdca2256_149a,5334002,1110,Moresneter Weg
strassennamen.fid--3213a59_187bdca2256_149b,5334002,1111,Bendelstraße
strassennamen.fid--3213a59_187bdca2256_149c,5334002,1112,Bendstraße
strassennamen.fid--3213a59_187bdca2256_149d,5334002,1113,Benediktinerstraße
strassennamen.fid--3213a59_187bdca2256_149e,5334002,1114,Oberer Backertsweg
strassennamen.fid--3213a59_187bdca2256_149f,5334002,1115,Bergdriesch
strassennamen.fid--3213a59_187bdca2256_14a0,5334002,1116,Bergische Gasse
strassennamen.fid--3213a59_187bdca2256_14a1,5334002,1117,Bergstraße
strassennamen.fid--3213a59_187bdca2256_14a2,5334002,1118,Osterweg
strassennamen.fid--3213a59_187bdca2256_14a3,5334002,1119,Kaltbachgässchen
strassennamen.fid--3213a59_187bdca2256_14a4,5334002,1120,Philippionsweg
strassennamen.fid--3213a59_187bdca2256_14a5,5334002,1121,Revierweg
strassennamen.fid--3213a59_187bdca2256_14a6,5334002,1122,Bertholdstraße
strassennamen.fid--3213a59_187bdca2256_14a7,5334002,1123,Rotsiefweg
strassennamen.fid--3213a59_187bdca2256_14a8,5334002,1124,Beverstraße
strassennamen.fid--3213a59_187bdca2256_14a9,5334002,1125,Birkengrund
strassennamen.fid--3213a59_187bdca2256_14aa,5334002,1126,Kopernikusstraße
strassennamen.fid--3213a59_187bdca2256_14ab,5334002,1127,Hirschweg
